Nombre Peaje,Latitud,Longitud,Operador,Tipo Operador,Ubicacion,Sector,Tarifa Categoria I,Tarifa Categoria II,Tarifa Categoria III,Territorial,Telefono Peaje,Telefono Grua,Ficha Oficial INVIAS
LA APARTADA,8.03150800000003,-75.30281,Concesión Ruta al Mar,Concesión,Vía Caucasia – Planeta Rica Km 12,Caucasia - Planeta Rica,$14.000,$20.700,$20.700,11,3102467118,3216177100,http://hermes.invias.gov.co/carreteras/images/peajes/la_apartada.jpg
SIBERIA,4.78040200000004,-74.185028,CONCESIÓN SABANA DE OCCIDENTE,Concesión,Bogotá (El Cortijo) – Siberia – La Punta – El Vino – Villeta,Villeta - Bogotá,$13.800,$19.600,$16.500,12,5939260 – 3185577768 – 3102613190 - 3002149460,5939260,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PUENTE PLATO,9.79138800000004,-74.808983,Concesión (Yuma),Concesión,KM 0+150 Vía Plata – Pueblo Nuevo,Plato – Pueblo Nuevo,$11.700,$14.600,$30.500,15,3165280403,018000945566 Opción 1,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
HONDA,5.20158400000003,-74.820282,Concesionaria Alternativas Viales SAS.,Concesión,Km 35 + 100 Vía Mariquita – Honda,Fresno - Honda,$13.700,$14.600,$15.200,24,3506666383 - 3506666384 - 3506666385,350 666-6375 - 350666-6386,http://hermes.invias.gov.co/carreteras/images/peajes/honda.jpg
PUERTO COLOMBIA,10.967563,-74.956105,Concesión Costera - Barranquilla - Cartagena,Concesión,Vía al Mar Km 93,Cartagena - Lomita Arena,$17.200,$25.800,$18.900,2,3124572706 - 3157210245 o #212 Movistar / 3106303666 o #211 Claro / 3004510014 o #211 Tigo,018000977330 - 3114803629,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
MATA DE CAÑA,9.09145900000004,-75.8198619999999,Concesión Ruta al Mar,Concesión,Vía Monteria - Lorica Km 32+700 Metros,Cereté - Lorica,$15.800,$23.200,$23.200,11,3102468199 - 3145007265,3216177100,http://hermes.invias.gov.co/carreteras/images/peajes/mata_de_cana.jpg
AGUAS NEGRAS,6.64532600000007,-73.952462,Concesionaria Ruta Del Sol,Concesión,Vía Rio Ermitaño La Lizama Km 84,Río Ermitaño - La Lizama,$13.500,$17.000,$39.500,22,3165298177,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3937.pdf
ALBARRACÍN,5.29067700000007,-73.5835039999999,Concesión Briceño - Tunja - Sogamoso,Concesión,Vía Bogotá Tunja KM 82+200 - Jurisdicción Villa Pinzón (Cundinamarca),Chocontá - Tunja,$10.300,$11.400,$29.300,4,3203409278,3174422284 // 3174341120 // 3174341030 // 3164086968,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CAIMANERA,9.46567700000003,-75.606506,No definido,Por definir,,Coveñas - San Onofre,$15.300,$22.100,$22.100,11,3153483271,3216177100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
QUIEBRA DE VELEZ,5.09425114600003,-75.555374468,No definido,Por definir,,Tres Puertas - Quiebra de Vélez - Manizales,$3.100,$9.600,,5,,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LAS PALMAS,6.15063000000004,-75.5312729999999,Concesión Túnel Aburrá - Oriente S.A,Concesión,Km. 5 RUTA 5601 Vía Medellín - La Ceja,Glorieta Las Palmas - La Unión,$12.200,$14.700,$14.700,1,(4) 4446178 - 2228085 - 4602225,(4) 4446178 - 2228085 - 4602225,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LOS ACACIOS,7.72137200000003,-72.57132,CONCESIÓN UNIÓN VIAL RÍO PAMPLONITA,Concesión,Km 119+900,Pamplona - Cúcuta,$7.900,$11.100,$24.700,18,(7) 5767878,3203452139,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
SANTAGUEDA,5.04866200000004,-75.598846,CONCESIÓN AUTOPISTAS DEL CAFE,Concesión,Cruce Guayacanes – La Manuela Km 6,Chinchiná - La Manuela,$14.600,$17.500,$17.500,5,(6) 3282720,3138176567 #850,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
BETANIA,3.97204071900006,-76.2533831599999,PISA Proyectos de Infraestructura S.A.,Concesión,Km 14 Vía Aguasclaras – Ocaña,Aguaclara - Río de Oro,$8.200,$10.600,$25.000,25,3155602442,3155602442,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PUENTE AMARILLO,4.19417200000004,-73.5967029999999,Concesión Vial del Oriente - COVIORIENTE S.A.S,Concesión,Conexión Anillo vial Cumaral Km 7+135,Cumaral - Barranca de Upía,$4.800,$16.000,$10.200,16,3168341260,3178942293 - 018000180818,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CHICORAL,4.24550200000004,-74.880531,Concesionaria San Rafael S.A.,Concesión,Km. 17+0350 de la ruta 4004B que corresponde a la vía Variante de Chicoral,Variante Chicoral,$13.800,$15.100,$13.800,24,3138863287,3212087489,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LA LIBERTAD,4.05697000000004,-73.463287,Concesión Autopistas de los Llanos,Concesión,Vía Villavicencio – Puerto López Km 18+900,Villavicencio - Paso por el Puente sobre el Río La Balsa -Puerto Lopez,$16.900,$32.700,$26.200,16,(8) 6700868 – 3115615494,3223472204 - #765,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PURGATORIO,8.63071100000008,-75.763725,Concesión Ruta al Mar,Concesión,Via Planeta Rica – Montería Km 32+500 Recorrido 49 KMS,Caucasia - Planeta Rica,$16.100,$23.700,$23.700,11,3116346239 - 3116346139,0947911207,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
ZAMBITO,6.29471400000006,-74.456992,Concesionaria Ruta Del Sol,Concesión,Vía Rio Ermitaño La Lizama Km 6,Río Ermitaño - La Lizama,$13.500,$17.000,$39.500,22,3165298178,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3920.pdf
