id,nombre,nombre_display,lat,lon,ubicacion,sector,sentido,pr,distancia_pr_m,telefono_grua,telefono_peaje,url_ficha,tarifa_cat1,operador,operador_tipo,codigo_peaje,codigo_tramo,territorial
manguitos,MANGUITOS,MANGUITOS,8.30157200000002,-75.530099,Vía Caucasia – Planeta Rica (Municipio de Plaza Bonita) Cubre Tramo Buenavista – Planeta Rica,Caucasia - Planeta Rica,Aplica en ambos sentido,52,138,3216177100,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,16100,Concesión Ruta al Mar,Concesión,29,2513,11
rio-bogota,RÍO BOGOTÁ,RÍO BOGOTÁ,4.69870000000003,-74.179344,Fontibon - Mosquera,Los Alpes - Madrid - Bogotá (Rio Bogotá),Oriente - Occidente Bogotá - Faca,1,485,300 2134184 - 310 3042774 - #235 Tigo - Movistar y Claro,3792200 – 8930977,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,11800,INVIAS,INVIAS,96,5008A,12
boqueron-ii,BOQUERÓN II,BOQUERÓN II,4.45458400000007,-74.05033,Vía Rio Negro – San Alberto Km 53+100,Río Negro - San Alberto,Occidente – Oriente // Oriente – Occidente,11,"1,051",3123060332 - 3105851322 -3105851325 y #713,3123063223 - 3123030336 – 3105851322,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,16500,COVIANDINA S.A.S.,Concesión,56,40CN01,12
iraca,IRACÁ,IRACÁ,3.63303700000006,-73.706421,Vía Villavicencio – Granada Km 7+200,Ye de Granada - Paso por el Puente sobre el Río Ocoa,Sur,6,919,(578) 668 49 90-91,(8) 6700868 - #765 018000918624,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,13100,Concesión Autopistas de los Llanos,Concesión,118,6509,16
los-garzones-1,LOS GARZONES 1,LOS GARZONES 1,8.84519800000004,-75.824585,Vía Monteria - Lorica Km. 1 más 320 metros,Montería - Cereté,GARZONES 1 SUR – NORTE,1,320,3184095455 – 3182406622,3124964386,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,6100,INVIAS,INVIAS,1,2103,11
el-picacho,EL PICACHO,EL PICACHO,7.10796900000003,-72.9689789999999,Bucaramanga - Pamplona,Cuestaboba - Pamplona,Sur - Norte - Norte - Sur,48,0,3124516349 - 3176462257 y 3004723174,3124516349 - 3176462257 y 3004723174,http://hermes.invias.gov.co/carreteras/images/peajes/el_picacho.jpg,12400,INVIAS,INVIAS,127,6603,22
el-corzo,EL CORZO,EL CORZO,4.74872200000004,-74.291145,El Corzo - Madrid,El Corzo - Madrid,Occidente - Oriente Faca - Bogota,57,513,(571) 893 09 77,3792200 – 8930977 300 2134184 - 310 3042774 - #235 Tigo - Movistar y Claro,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,11800,INVIAS,INVIAS,95,5008A,12
niquia,NIQUÍA,NIQUÍA,6.34510075000003,-75.526595507,Km 15+000 Autopista norte,Medellìn - Hoyo Rico,Norte,0,0,(054) 312 11 99-325 06 60,4678141 - 3108992853 - 3108992853 - 2544670 - 01-8000-522-44-77,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,2500,Concesión Hatovial S.A.S,Concesión,156,2510,1
paraguachon,PARAGUACHÓN,PARAGUACHÓN,11.3676140000001,-72.156624,Ubicación: 84+475 Tramo que cubre:Cuatro vías - Paraguachón,Riohacha - Paraguachón,Aplica en ambos sentido de circulación,84,476,(5) 728 85 43,3143300807 - (5) 7288542 /43,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,12300,Concesión Santa Marta Paraguachón S.A,Concesión,145,9010,13
guayabal,GUAYABAL,GUAYABAL,4.88341307600007,-74.4831854,Peaje Rio Bogotá – Facatativa – Villeta – Viani – Cambao Km 63 Jurisdicción del Municipio de Guayabal,Guayabal de Síquima - Cambao,Norte - occidente // occidente - norte,0,0,3138879089,3184666166,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,12400,CONCESIÓN PANAMERICANA,Concesión,162,,12
