"point","Nombre Peaje","Ubicación","Sector","Sentido","Poste de Referencia PR","Distancia PR","Telefono Grúa","Telefono Peaje","URL Foto","Categoria I","Categoria II","Categoria III","Categoria IV","Categoria V","Categoria VI","Categoria VII","Categoria VIII","Categoria IX","Categoria E","Categoria EAE","Categoria EC","Categoria EIE","Categoria IE","Categoria IEE","Categoria IEEE","Categoria IEX","Categoria IIA","Categoria IIE","Categoria IIIE","Categoria IVE","Categoria VE","Categoria VIE","Categoria VIIE","Administrador","Código Peaje","Código Tramo","Eje Adicional","Eje Adicional R","Eje Grua","Latitud","Longitud","Responsable","Territorial"
"POINT (-76.31918 3.71302200000002)","CERRITO","Vía Cali - Andalucia Km 43+200","Cali - Palmira - Buga","Sur - Norte // Norte - Sur","44","893","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5605.pdf","11,000","13,300","35,300","46,000","53,000","0","0","0","0","0","0","7,100","0","0","0","0","0","0","0","0","0","0","0","0","2","16","2505","10,700","21,200","6,600","3.71309616","3.71309616","CONCESION ANI","25"
"POINT (-76.462683 3.55733700000008)","CENCAR","Vía Yumbo – Aeropuerto Km 2+950","Cali - Yumbo","Sur - Norte // Norte - Sur","0","0","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5604.pdf","11,000","13,300","35,300","46,000","53,000","0","0","0","0","0","0","7,100","4,600","5,000","0","0","0","0","0","0","0","0","0","0","2","7","2301","10,700","21,200","6,600","3.55738348","3.55738348","CONCESION ANI","25"
"POINT (-76.4576509999999 3.62760200000002)","PASO DE LA TORRE","Vía Vijes – Rozo Km 1+500","Paso de La Torre - Siberia (Variante Yumbo)","Sur - Norte","26","221","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5205.pdf","11,000","13,300","35,300","46,000","53,000","0","0","0","0","0","0","7,100","4,100","0","0","0","0","0","0","0","0","0","0","0","2","8","23VL02","10,700","21,200","6,600","3.62759823","3.62759823",,"25"
"POINT (-76.3432789999999 3.52344900000003)","CIAT","Vía Cali – Andalucía Km 17+300","Cali - Palmira - Buga","Norte – Sur","16","344","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5204.pdf","11,100","13,400","35,800","46,100","53,100","0","0","0","0","0","0","7,100","4,700","5,100","0","0","0","0","8,500","0","0","0","0","0","2","15","2505","10,700","21,200","6,600","3.52353998","3.52353998","CONCESION ANI","25"
"POINT (-76.536811321 2.70169011300004)","TUNIA (SINIESTRADA)","Kilometro 31+100 Vía Panamericana Popayan – Cali","Popayán - Jamundí","Sur – Norte // Norte – Sur","30","1,053","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/4805.pdf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","2504","0","0","0","2.70169011","2.70169011","INVIAS","8"
"POINT (-76.4430649999999 3.50073900000007)","ESTAMBUL","Vía Cali – Andalucía Km 5","Cali - Palmira - Buga","Sur - Norte","4","954","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/4804.pdf","11,100","13,400","35,800","46,100","53,100","0","0","0","0","0","0","7,100","4,700","5,100","0","0","0","0","8,500","0","0","0","0","0","2","14","2505","10,700","21,200","6,600","3.5007222","3.5007222","CONCESION ANI","25"
"POINT (-74.766759404 10.957823864)","CORREDOR PORTUARIO",,"Calle 6",,"0","0","Por Definir","Por Definir","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","6,400","7,100","0","20,000","22,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","178",,"0","0","0","10.95782386","10.95782386","Por Definir","2"
"POINT (-75.445772 10.2445070000001)","PASACABALLOS","Variante de Gambote","Variante de Gambote","Sur - Norte // Norte - Sur","17","240","321 205 72 27",,,"11,400","12,200","26,000","33,700","39,300","39,300","39,300","0","0","0","0","0","0","3,900","0","0","0","0","0","9,100","0","0","0","0","2","149","90BLB","0","0","0","10.24342537","10.24342537","AUTOPISTAS DEL SOL S.A.","3"
"POINT (-75.836761 8.82778300000007)","LOS GARZONES 2","Vía Monteria - Lorica Km. 1 más 320 metros","Montería - Cereté","GARZONES 2  NORTE - SUR.","6","130","3184095455 – 3182406622","3124964386",,"6,100","15,600","24,200","30,600","35,000","0","0","0","0","0","0","0","0","2,400","6,500","0","0","0","4,600","0","0","0","0","0","1","135","2103","0","0","0","8.827956","-75.836952","INVIAS","11"
"POINT (-73.834808 4.27987200000007)","NARANJAL","Caqueza – Guayabetal Km 44+700","Bogotá (El Portal) - Villavicencio","Occidente – Oriente // Oriente – Occidente","50","166","3123060332 - 3105851322 -3105851325 y #713","3144360298 // 3123060332 - 3105851322","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","14,100","36,500","27,500","53,900","62,700","72,300","80,300","0","0","0","0","0","0","500","500","0","0","0","500","500","500","500","0","0","2","57","4006","0","0","0","4.28510697","4.28510697","COVIANDINA S.A.S.","12"
